subject,session,contrast,init_scale
sub-JWD01,ses-PND020,MTw,0.7
sub-JWD01,ses-PND020,PDw,0.7
sub-JWD01,ses-PND020,T1w,0.7
sub-JWD01,ses-PND063,MTw,0.8
sub-JWD01,ses-PND063,PDw,0.8
sub-JWD01,ses-PND063,T1w,0.8
sub-JWD01,ses-PND300,MTw,0.85
sub-JWD01,ses-PND300,PDw,0.85
sub-JWD01,ses-PND300,T1w,0.85
sub-JWD02,ses-PND020,MTw,0.7
sub-JWD02,ses-PND020,PDw,0.7
sub-JWD02,ses-PND020,T1w,0.7
sub-JWD02,ses-PND063,MTw,0.8
sub-JWD02,ses-PND063,PDw,0.8
sub-JWD02,ses-PND063,T1w,0.8
sub-JWD02,ses-PND300,MTw,0.85
sub-JWD02,ses-PND300,PDw,0.85
sub-JWD02,ses-PND300,T1w,0.85
sub-JWD03,ses-PND020,MTw,0.7
sub-JWD03,ses-PND020,PDw,0.7
sub-JWD03,ses-PND020,T1w,0.7
sub-JWD03,ses-PND063,MTw,0.8
sub-JWD03,ses-PND063,PDw,0.8
sub-JWD03,ses-PND063,T1w,0.8
sub-JWD03,ses-PND300,MTw,0.85
sub-JWD03,ses-PND300,PDw,0.85
sub-JWD03,ses-PND300,T1w,0.85
sub-JWD04,ses-PND063,MTw,0.8
sub-JWD04,ses-PND063,PDw,0.8
sub-JWD04,ses-PND063,T1w,0.8
sub-JWD04,ses-PND300,MTw,0.85
sub-JWD04,ses-PND300,PDw,0.85
sub-JWD04,ses-PND300,T1w,0.85
sub-JWD05,ses-PND020,MTw,0.7
sub-JWD05,ses-PND020,PDw,0.7
sub-JWD05,ses-PND020,T1w,0.7
sub-JWD05,ses-PND063,MTw,0.8
sub-JWD05,ses-PND063,PDw,0.8
sub-JWD05,ses-PND063,T1w,0.8
sub-JWD05,ses-PND300,MTw,0.85
sub-JWD05,ses-PND300,PDw,0.85
sub-JWD05,ses-PND300,T1w,0.85
sub-JWD05,ses-PND063,MTw,0.8
